title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,142,Crime; Drama,Frank Darabont,Stephen King; Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton,9.3,"1,551,713"
The Godfather,175,Crime; Drama,Francis Ford Coppola,Mario Puzo; Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan,9.2,"1,062,275"
The Godfather: Part II,202,Crime; Drama,Francis Ford Coppola,Francis Ford Coppola; Mario Puzo,Al Pacino; Robert De Niro; Robert Duvall,9.0,"719,401"
The Dark Knight,152,Action; Crime; Drama,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,9.0,"1,527,029"
12 Angry Men,96,Crime; Drama,Sidney Lumet,Reginald Rose,Henry Fonda; Lee J. Cobb; Martin Balsam,8.9,"402,450"
Schindler's List,195,Biography; Drama; History,Steven Spielberg,Thomas Keneally; Steven Zaillian,Liam Neeson; Ralph Fiennes; Ben Kingsley,8.9,"790,054"
Pulp Fiction,154,Crime; Drama,Quentin Tarantino,Quentin Tarantino; Roger Avary,John Travolta; Uma Thurman; Samuel L. Jackson,8.9,"1,209,473"
"Il buono, il brutto, il cattivo",161,Western,Sergio Leone,Luciano Vincenzoni; Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef,8.9,"463,453"
The Lord of the Rings: The Return of the King,201,Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Viggo Mortensen; Ian McKellen,8.9,"1,112,860"
Fight Club,139,Drama,David Fincher,Chuck Palahniuk; Jim Uhls,Brad Pitt; Edward Norton; Helena Bonham Carter,8.9,"1,225,185"
The Lord of the Rings: The Fellowship of the Ring,178,Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Orlando Bloom,8.8,"1,137,344"
Star Wars: Episode V - The Empire Strikes Back,124,Action; Adventure; Fantasy,Irvin Kershner,Leigh Brackett; Lawrence Kasdan,Mark Hamill; Harrison Ford; Carrie Fisher,8.8,"728,151"
Forrest Gump,142,Drama; Romance,Robert Zemeckis,Winston Groom; Eric Roth,Tom Hanks; Robin Wright; Gary Sinise,8.8,"1,125,220"
Inception,148,Action; Mystery; Sci-Fi,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page,8.8,"1,326,272"
One Flew Over the Cuckoo's Nest,133,Drama,Milos Forman,Lawrence Hauben; Bo Goldman,Jack Nicholson; Louise Fletcher; Michael Berryman,8.7,"626,821"
The Lord of the Rings: The Two Towers,179,Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Ian McKellen; Viggo Mortensen,8.7,"1,003,823"
Goodfellas,146,Biography; Crime; Drama,Martin Scorsese,Nicholas Pileggi; Nicholas Pileggi,Robert De Niro; Ray Liotta; Joe Pesci,8.7,"667,935"
The Matrix,136,Action; Sci-Fi,Andy Wachowski; Lana Wachowski,Andy Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,8.7,"1,113,461"
Star Wars: Episode IV - A New Hope,121,Action; Adventure; Fantasy,George Lucas,George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.7,"798,351"
Shichinin no samurai,207,Drama,Akira Kurosawa,Akira Kurosawa; Shinobu Hashimoto,Toshirô Mifune; Takashi Shimura; Keiko Tsushima,8.7,"212,348"
City of God,130,Crime; Drama,Fernando Meirelles; Kátia Lund,Paulo Lins; Bráulio Mantovani,Alexandre Rodrigues; Matheus Nachtergaele; Leandro Firmino,8.7,"491,790"
Se7en,127,Crime; Drama; Mystery,David Fincher,Andrew Kevin Walker,Morgan Freeman; Brad Pitt; Kevin Spacey,8.6,"931,609"
